row,action,operation,src,dst,status,files,size_bytes,note
25,flatten_same_name_child,remove_empty_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\普通生物学\普通生物学,,ok,0,0,
26,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生活资料\生活资料\双创中心竞赛讲座PPT_tqychy.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生活资料\双创中心竞赛讲座PPT_tqychy.pdf,ok,1,3055330,
26,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生活资料\生活资料\团员学习资料.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生活资料\团员学习资料.pdf,ok,1,2950841,
26,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生活资料\生活资料\宿舍不断电申请书（模板）.docx,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生活资料\宿舍不断电申请书（模板）.docx,ok,1,17046,
26,flatten_same_name_child,remove_empty_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生活资料\生活资料,,ok,0,0,
27,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生物信息数据挖掘\生物信息数据挖掘\生信数据挖掘梳理.docx,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生物信息数据挖掘\生信数据挖掘梳理.docx,ok,1,1423719,
27,flatten_same_name_child,remove_empty_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\生物信息数据挖掘\生物信息数据挖掘,,ok,0,0,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\《药剂学》第八版.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\《药剂学》第八版.pdf,ok,1,132990940,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第一章－绪论（简化版）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第一章－绪论（简化版）.pdf,ok,1,2088389,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第七章－制剂新技术-1（简化版）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第七章－制剂新技术-1（简化版）.pdf,ok,1,1029600,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第七章－制剂新技术-2（简化版）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第七章－制剂新技术-2（简化版）.pdf,ok,1,1676738,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第三章－半固体制剂（简化版）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第三章－半固体制剂（简化版）.pdf,ok,1,458882,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第九章－经皮给药制剂（简化版）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第九章－经皮给药制剂（简化版）.pdf,ok,1,2222160,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第二章－液体制剂（简化版）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第二章－液体制剂（简化版）.pdf,ok,1,1361131,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第五章－固体制剂-基本概念（简化版）1779668917(1).pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第五章－固体制剂-基本概念（简化版）1779668917(1).pdf,ok,1,3315931,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第八章－缓释、控释和靶向制剂（简化版）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第八章－缓释、控释和靶向制剂（简化版）.pdf,ok,1,1977531,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第六章－制剂理论- 1.2（简化版）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第六章－制剂理论- 1.2（简化版）.pdf,ok,1,509073,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第六章－制剂理论-2（简化版）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第六章－制剂理论-2（简化版）.pdf,ok,1,795511,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第六章－制剂理论1.1（简化版）.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第六章－制剂理论1.1（简化版）.pdf,ok,1,773503,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\第四章－灭菌与无菌制剂（简化版）1779668870(3).pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\第四章－灭菌与无菌制剂（简化版）1779668870(3).pdf,ok,1,2473692,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\药剂学.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学.pdf,ok,1,21984509,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\药剂学名词解释.docx,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学名词解释.docx,ok,1,17628,
28,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学\药剂学学习指导与习题集.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学学习指导与习题集.pdf,ok,1,32717188,
28,flatten_same_name_child,remove_empty_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药剂学\药剂学,,ok,0,0,
29,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\药理学\1-药理学绪论.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\1-药理学绪论.pdf,ok,1,1545286,
29,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\药理学\10-镇痛药.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\10-镇痛药.pdf,ok,1,1921590,
29,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\药理学\11-解热镇痛抗炎药.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\11-解热镇痛抗炎药.pdf,ok,1,1746866,
29,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\药理学\12-抗动脉粥样硬化药.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\12-抗动脉粥样硬化药.pdf,ok,1,1001233,
29,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\药理学\13-抗心绞痛药物.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\13-抗心绞痛药物.pdf,ok,1,1238470,
29,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\药理学\14-作用于呼吸系统的药物.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\14-作用于呼吸系统的药物.pdf,ok,1,2109956,
29,flatten_same_name_child,move_file,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\药理学\15-肾上腺皮质激素类药物.pdf,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\药理学\15-肾上腺皮质激素类药物.pdf,ok,1,1474755,
